회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
933회,2020년10월17일,23,27,29,31,36,45,37,8,"2,927,797,079원","93,484,851,000원"
934회,2020년10월24일,1,3,30,33,36,39,12,4,"5,765,772,844원","93,028,347,000원"
935회,2020년10월31일,4,10,20,32,38,44,18,13,"1,711,055,424원","93,934,898,000원"
936회,2020년11월07일,7,11,13,17,18,29,43,14,"1,492,069,179원","92,246,146,000원"
937회,2020년11월14일,2,10,13,22,29,40,26,11,"2,058,420,819원","93,720,454,000원"
938회,2020년11월21일,4,8,10,16,31,36,9,10,"2,249,466,563원","93,452,425,000원"
939회,2020년11월28일,4,11,28,39,42,45,6,13,"1,708,363,039원","93,340,002,000원"
940회,2020년12월05일,3,15,20,22,24,41,11,8,"2,846,071,079원","93,920,183,000원"
941회,2020년12월12일,12,14,25,27,39,40,35,16,"1,347,297,422원","94,867,600,000원"
942회,2020년12월19일,10,12,18,35,42,43,39,6,"3,761,680,313원","92,731,965,000원"
943회,2020년12월26일,1,8,13,36,44,45,39,7,"3,435,045,108원","100,081,432,000원"
944회,2021년01월02일,2,13,16,19,32,33,42,13,"1,961,836,356원","107,181,377,000원"
945회,2021년01월09일,9,10,15,30,33,37,26,13,"1,765,554,491원","94,837,109,000원"
946회,2021년01월16일,9,18,19,30,34,40,20,11,"2,157,656,182원","99,380,178,000원"
947회,2021년01월23일,3,8,17,20,27,35,26,18,"1,275,855,750원","99,449,916,000원"
948회,2021년01월30일,13,18,30,31,38,41,5,11,"2,188,548,716원","100,519,459,000원"
949회,2021년02월06일,14,21,35,36,40,44,30,10,"2,458,569,713원","100,518,909,000원"
950회,2021년02월13일,3,4,15,22,28,40,10,8,"3,281,920,500원","108,870,714,000원"
951회,2021년02월20일,2,12,30,31,39,43,38,14,"1,747,552,661원","102,937,006,000원"
952회,2021년02월27일,4,12,22,24,33,41,38,9,"2,713,699,834원","102,355,646,000원"
953회,2021년03월06일,7,9,22,27,37,42,34,14,"1,640,636,009원","99,180,891,000원"
954회,2021년03월13일,1,9,26,28,30,41,32,10,"2,478,795,900원","101,455,314,000원"
955회,2021년03월20일,4,9,23,26,29,33,8,12,"2,023,170,188원","99,784,736,000원"
956회,2021년03월27일,10,11,20,21,25,41,40,11,"2,022,982,671원","97,065,255,000원"
957회,2021년04월03일,4,15,24,35,36,40,1,11,"2,126,634,137원","96,654,698,000원"
958회,2021년04월10일,2,9,10,16,35,37,1,15,"1,596,119,675원","98,635,947,000원"
