회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
366회,2009년12월05일,5,12,19,26,27,44,38,2,"5,351,553,900원","45,962,166,000원"
367회,2009년12월12일,3,22,25,29,32,44,19,7,"1,581,736,586원","46,459,307,000원"
368회,2009년12월19일,11,21,24,30,39,45,26,7,"1,465,825,115원","43,746,046,000원"
369회,2009년12월26일,17,20,35,36,41,43,21,6,"1,842,177,750원","46,716,275,000원"
370회,2010년01월02일,16,18,24,42,44,45,17,7,"1,678,941,943원","49,762,652,000원"
371회,2010년01월09일,7,9,15,26,27,42,18,7,"1,524,130,543원","45,843,166,000원"
372회,2010년01월16일,8,11,14,16,18,21,13,9,"1,192,593,200원","46,167,066,000원"
373회,2010년01월23일,15,26,37,42,43,45,9,4,"2,791,801,125원","47,095,065,000원"
374회,2010년01월30일,11,13,15,17,25,34,26,2,"5,528,717,850원","48,081,319,000원"
375회,2010년02월06일,4,8,19,25,27,45,7,7,"1,581,284,058원","47,864,938,000원"
376회,2010년02월13일,1,11,13,24,28,40,7,6,"1,956,915,800원","50,657,096,000원"
377회,2010년02월20일,6,22,29,37,43,45,23,3,"3,912,085,400원","49,218,434,000원"
378회,2010년02월27일,5,22,29,31,34,39,43,5,"2,317,698,240원","48,866,964,000원"
379회,2010년03월06일,6,10,22,31,35,40,19,7,"1,598,999,786원","47,537,685,000원"
380회,2010년03월13일,1,2,8,17,26,37,27,4,"2,684,274,825원","47,164,371,000원"
381회,2010년03월20일,1,5,10,12,16,20,11,19,"565,738,895원","47,943,113,000원"
382회,2010년03월27일,10,15,22,24,27,42,19,6,"1,846,674,900원","47,401,288,000원"
383회,2010년04월03일,4,15,28,33,37,40,25,3,"3,596,522,100원","46,067,051,000원"
384회,2010년04월10일,11,22,24,32,36,38,7,3,"3,658,734,200원","46,888,942,000원"
385회,2010년04월17일,7,12,19,21,29,32,9,7,"1,542,032,700원","46,243,483,000원"
386회,2010년04월24일,4,7,10,19,31,40,26,10,"1,042,953,330원","45,907,331,000원"
387회,2010년05월01일,1,26,31,34,40,43,20,4,"2,675,533,500원","45,459,960,000원"
388회,2010년05월08일,1,8,9,17,29,32,45,4,"2,545,543,875원","44,308,705,000원"
389회,2010년05월15일,7,16,18,20,23,26,3,5,"2,119,027,020원","45,534,027,000원"
390회,2010년05월22일,16,17,28,37,39,40,15,1,"10,373,997,900원","44,189,673,000원"
391회,2010년05월29일,10,11,18,22,28,39,30,1,"10,508,749,800원","45,161,516,000원"
392회,2010년06월05일,1,3,7,8,24,42,43,6,"1,713,528,700원","45,528,684,000원"
393회,2010년06월12일,9,16,28,40,41,43,21,8,"1,362,003,975원","45,989,116,000원"
394회,2010년06월19일,1,13,20,22,25,28,15,1,"10,654,349,100원","45,192,337,000원"
395회,2010년06월26일,11,15,20,26,31,35,7,7,"1,534,635,000원","46,192,580,000원"
396회,2010년07월03일,18,20,31,34,40,45,30,2,"5,296,622,400원","45,463,736,000원"
397회,2010년07월10일,12,13,17,22,25,33,8,3,"3,499,519,700원","45,890,007,000원"
398회,2010년07월17일,10,15,20,23,42,44,7,4,"2,680,625,550원","45,427,304,000원"
399회,2010년07월24일,1,2,9,17,19,42,20,8,"1,276,854,975원","45,551,786,000원"
400회,2010년07월31일,9,21,27,34,41,43,2,4,"2,669,834,325원","45,379,731,000원"
401회,2010년08월07일,6,12,18,31,38,43,9,9,"1,168,214,792원","43,491,965,000원"
402회,2010년08월14일,5,9,15,19,22,36,32,4,"2,662,206,188원","45,002,946,000원"
403회,2010년08월21일,10,14,22,24,28,37,26,5,"2,122,396,875원","44,911,335,000원"
404회,2010년08월28일,5,20,21,24,33,40,36,3,"3,566,659,375원","45,389,825,000원"
405회,2010년09월04일,1,2,10,25,26,44,4,3,"3,543,878,000원","45,220,904,000원"
406회,2010년09월11일,7,12,21,24,27,36,45,5,"2,156,142,450원","46,062,206,000원"
407회,2010년09월18일,6,7,13,16,24,25,1,7,"1,649,707,286원","48,429,586,000원"
408회,2010년09월25일,9,20,21,22,30,37,16,5,"2,235,375,825원","46,406,711,000원"
409회,2010년10월02일,6,9,21,31,32,40,38,4,"2,896,989,750원","47,924,584,000원"
410회,2010년10월09일,1,3,18,32,40,41,16,9,"1,249,335,709원","47,467,817,000원"
411회,2010년10월16일,11,14,22,35,37,39,5,12,"953,227,563원","47,259,122,000원"
412회,2010년10월23일,4,7,39,41,42,45,40,7,"1,656,199,822원","47,066,180,000원"
413회,2010년10월30일,2,9,15,23,34,40,3,4,"2,814,673,500원","46,925,724,000원"
414회,2010년11월06일,2,14,15,22,23,44,43,1,"11,703,832,500원","46,910,990,000원"
415회,2010년11월13일,7,17,20,26,30,40,24,8,"1,334,182,407원","46,746,048,000원"
416회,2010년11월20일,5,6,8,11,22,26,44,10,"1,072,037,100원","46,854,806,000원"
417회,2010년11월27일,4,5,14,20,22,43,44,4,"2,818,329,938원","45,968,256,000원"
418회,2010년12월04일,11,13,15,26,28,34,31,8,"1,435,649,766원","47,058,055,000원"
419회,2010년12월11일,2,11,13,14,28,30,7,3,"3,796,490,750원","46,508,296,000원"
420회,2010년12월18일,4,9,10,29,31,34,27,8,"1,424,856,375원","47,345,476,000원"
421회,2010년12월25일,6,11,26,27,28,44,30,5,"2,321,144,325원","47,752,021,000원"
422회,2011년01월01일,8,15,19,21,34,44,12,6,"2,205,251,375원","52,730,602,000원"
423회,2011년01월08일,1,17,27,28,29,40,5,3,"3,896,153,875원","49,668,311,000원"
424회,2011년01월15일,10,11,26,31,34,44,30,10,"1,109,480,813원","48,728,445,000원"
425회,2011년01월22일,8,10,14,27,33,38,3,8,"1,534,833,000원","50,459,694,000원"
426회,2011년01월29일,4,17,18,27,39,43,19,4,"3,057,233,625원","51,466,592,000원"
427회,2011년02월05일,6,7,15,24,28,30,21,1,"12,571,445,625원","52,511,055,000원"
428회,2011년02월12일,12,16,19,22,37,40,8,9,"1,437,683,209원","54,685,007,000원"
429회,2011년02월19일,3,23,28,34,39,42,16,9,"1,485,904,709원","53,993,833,000원"
430회,2011년02월26일,1,3,16,18,30,34,44,8,"1,611,763,219원","53,194,872,000원"
431회,2011년03월05일,18,22,25,31,38,45,6,10,"1,268,434,013원","51,661,947,000원"
432회,2011년03월12일,2,3,5,11,27,39,33,5,"2,299,427,550원","52,348,574,000원"
433회,2011년03월19일,19,23,29,33,35,43,27,11,"1,182,294,410원","52,396,606,000원"
434회,2011년03월26일,3,13,20,24,33,37,35,8,"1,480,060,266원","51,579,439,000원"
435회,2011년04월02일,8,16,26,30,38,45,42,10,"1,287,550,013원","52,341,267,000원"
436회,2011년04월09일,9,14,20,22,33,34,28,8,"1,512,266,579원","50,869,017,000원"
437회,2011년04월16일,11,16,29,38,41,44,21,6,"2,096,245,438원","50,798,417,000원"
438회,2011년04월23일,6,12,20,26,29,38,45,9,"1,377,142,167원","50,370,042,000원"
439회,2011년04월30일,17,20,30,31,37,40,25,6,"1,900,077,375원","49,680,708,000원"
440회,2011년05월07일,10,22,28,34,36,44,2,6,"1,995,873,000원","49,810,778,000원"
441회,2011년05월14일,1,23,28,30,34,35,9,4,"3,170,417,063원","50,272,122,000원"
442회,2011년05월21일,25,27,29,36,38,40,41,9,"1,413,413,042원","51,219,943,000원"
443회,2011년05월28일,4,6,10,19,20,44,14,9,"1,327,597,584원","51,236,072,000원"
444회,2011년06월04일,11,13,23,35,43,45,17,3,"4,154,188,625원","50,673,529,000원"
445회,2011년06월11일,13,20,21,30,39,45,32,7,"1,791,683,036원","50,053,080,000원"
446회,2011년06월18일,1,11,12,14,26,35,6,3,"4,051,247,625원","50,595,241,000원"
447회,2011년06월25일,2,7,8,9,17,33,34,4,"2,657,941,125원","49,555,042,000원"
448회,2011년07월02일,3,7,13,27,40,41,36,3,"4,026,212,750원","51,341,262,000원"
449회,2011년07월09일,3,10,20,26,35,43,36,3,"4,059,715,250원","50,214,272,000원"
450회,2011년07월16일,6,14,19,21,23,31,13,6,"1,990,391,625원","49,732,036,000원"
451회,2011년07월23일,12,15,20,24,30,38,29,13,"882,138,952원","49,861,167,000원"
452회,2011년07월30일,8,10,18,30,32,34,27,9,"1,276,902,000원","48,456,758,000원"
453회,2011년08월06일,12,24,33,38,40,42,30,5,"2,262,732,375원","48,055,125,000원"
454회,2011년08월13일,13,25,27,34,38,41,10,7,"1,609,125,590원","48,389,211,000원"
455회,2011년08월20일,4,19,20,26,30,35,24,7,"1,635,711,483원","48,769,851,000원"
456회,2011년08월27일,1,7,12,18,23,27,44,7,"1,598,505,054원","49,420,681,000원"
457회,2011년09월03일,8,10,18,23,27,40,33,10,"1,159,902,825원","49,679,052,000원"
458회,2011년09월10일,4,9,10,32,36,40,18,8,"1,608,812,625원","53,778,256,000원"
459회,2011년09월17일,4,6,10,14,25,40,12,7,"1,655,842,233원","49,890,095,000원"
460회,2011년09월24일,8,11,28,30,43,45,41,4,"3,180,895,782원","51,917,635,000원"
461회,2011년10월01일,11,18,26,31,37,40,43,6,"1,948,674,875원","50,624,588,000원"
462회,2011년10월08일,3,20,24,32,37,45,4,8,"1,483,559,297원","49,325,555,000원"
463회,2011년10월15일,23,29,31,33,34,44,40,0,0원,"49,205,151,000원"
464회,2011년10월22일,6,12,15,34,42,44,4,13,"3,355,721,106원","126,772,274,000원"
465회,2011년10월29일,1,8,11,13,22,38,31,7,"1,923,662,893원","57,793,294,000원"
466회,2011년11월05일,4,10,13,23,32,44,20,9,"1,530,313,459원","58,314,753,000원"
467회,2011년11월12일,2,12,14,17,24,40,39,9,"1,435,441,084원","57,383,906,000원"
468회,2011년11월19일,8,13,15,28,37,43,17,9,"1,527,197,167원","55,598,552,000원"
469회,2011년11월26일,4,21,22,34,37,38,33,4,"3,330,131,250원","53,364,940,000원"
470회,2011년12월03일,10,16,20,39,41,42,27,3,"4,333,330,625원","53,912,965,000원"
471회,2011년12월10일,6,13,29,37,39,41,43,7,"1,939,332,858원","53,492,340,000원"
472회,2011년12월17일,16,25,26,31,36,43,44,7,"1,809,656,090원","51,929,207,000원"
473회,2011년12월24일,8,13,20,22,23,36,34,4,"3,250,418,063원","52,867,236,000원"
474회,2011년12월31일,4,13,18,31,33,45,43,15,"936,690,800원","58,978,482,000원"
475회,2012년01월07일,1,9,14,16,21,29,3,8,"1,693,923,047원","56,043,275,000원"
476회,2012년01월14일,9,12,13,15,37,38,27,4,"3,439,851,469원","55,591,819,000원"
477회,2012년01월21일,14,25,29,32,33,45,37,8,"1,919,011,829원","60,801,409,000원"
478회,2012년01월28일,18,29,30,37,39,43,8,14,"987,224,759원","54,975,901,000원"
479회,2012년02월04일,8,23,25,27,35,44,24,6,"2,233,046,500원","54,848,834,000원"
480회,2012년02월11일,3,5,10,17,30,31,16,4,"2,996,742,282원","55,415,681,000원"
481회,2012년02월18일,3,4,23,29,40,41,20,3,"4,639,355,750원","55,642,616,000원"
482회,2012년02월25일,1,10,16,24,25,35,43,7,"1,897,921,179원","56,201,452,000원"
483회,2012년03월03일,12,15,19,22,28,34,5,5,"2,567,196,675원","55,582,659,000원"
484회,2012년03월10일,1,3,27,28,32,45,11,6,"2,305,303,063원","55,885,979,000원"
485회,2012년03월17일,17,22,26,27,36,39,20,9,"1,501,474,917원","55,692,878,000원"
486회,2012년03월24일,1,2,23,25,38,40,43,13,"1,008,634,125원","54,540,823,000원"
487회,2012년03월31일,4,8,25,27,37,41,21,8,"1,638,830,766원","55,276,503,000원"
488회,2012년04월07일,2,8,17,30,31,38,25,10,"1,330,393,575원","54,213,092,000원"
489회,2012년04월14일,2,4,8,15,20,27,11,6,"2,106,360,625원","53,558,490,000원"
490회,2012년04월21일,2,7,26,29,40,43,42,7,"1,860,234,161원","52,590,121,000원"
491회,2012년04월28일,8,17,35,36,39,42,4,4,"3,304,634,438원","53,413,874,000원"
492회,2012년05월05일,22,27,31,35,37,40,42,5,"2,493,013,800원","51,693,454,000원"
493회,2012년05월12일,20,22,26,33,36,37,25,9,"1,451,120,334원","53,231,838,000원"
494회,2012년05월19일,5,7,8,15,30,43,22,12,"1,054,588,407원","53,321,589,000원"
495회,2012년05월26일,4,13,22,27,34,44,6,6,"2,111,645,000원","53,645,960,000원"
496회,2012년06월02일,4,13,20,29,36,41,39,4,"3,285,932,250원","52,915,804,000원"
497회,2012년06월09일,19,20,23,24,43,44,13,6,"2,222,817,813원","52,411,585,000원"
498회,2012년06월16일,13,14,24,32,39,41,3,4,"3,244,503,094원","52,851,253,000원"
499회,2012년06월23일,5,20,23,27,35,40,43,3,"4,070,480,250원","52,767,632,000원"
500회,2012년06월30일,3,4,12,20,24,34,41,9,"1,351,072,375원","54,012,267,000원"
501회,2012년07월07일,1,4,10,17,31,42,2,4,"3,025,200,094원","52,717,711,000원"
502회,2012년07월14일,6,22,28,32,34,40,26,6,"2,201,458,125원","54,000,640,000원"
503회,2012년07월21일,1,5,27,30,34,36,40,7,"1,853,634,911원","53,572,205,000원"
504회,2012년07월28일,6,14,22,26,43,44,31,9,"1,443,236,959원","51,787,037,000원"
505회,2012년08월04일,7,20,22,25,38,40,44,6,"1,917,955,188원","49,103,223,000원"
506회,2012년08월11일,6,9,11,22,24,30,31,3,"4,073,333,875원","52,363,311,000원"
507회,2012년08월18일,12,13,32,33,40,41,4,9,"1,416,438,875원","53,638,773,000원"
508회,2012년08월25일,5,27,31,34,35,43,37,8,"1,599,557,860원","54,010,391,000원"
509회,2012년09월01일,12,25,29,35,42,43,24,5,"2,689,076,100원","53,390,358,000원"
510회,2012년09월08일,12,29,32,33,39,40,42,5,"2,644,158,150원","53,964,992,000원"
511회,2012년09월15일,3,7,14,23,26,42,24,6,"2,165,579,250원","53,970,308,000원"
512회,2012년09월22일,4,5,9,13,26,27,1,13,"940,094,452원","54,017,801,000원"
513회,2012년09월29일,5,8,21,23,27,33,12,3,"4,589,624,750원","58,317,548,000원"
514회,2012년10월06일,1,15,20,26,35,42,9,3,"4,451,055,500원","54,452,404,000원"
515회,2012년10월13일,2,11,12,15,23,37,8,1,"13,200,466,875원","55,258,935,000원"
516회,2012년10월20일,2,8,23,41,43,44,30,11,"1,294,190,182원","56,385,762,000원"
517회,2012년10월27일,1,9,12,28,36,41,10,5,"2,659,057,725원","54,468,223,000원"
518회,2012년11월03일,14,23,30,32,34,38,6,6,"2,263,804,125원","55,321,566,000원"
519회,2012년11월10일,6,8,13,16,30,43,3,7,"1,950,601,393원","55,614,206,000원"
520회,2012년11월17일,4,22,27,28,38,40,1,6,"2,167,205,438원","55,003,797,000원"
521회,2012년11월24일,3,7,18,29,32,36,19,8,"1,693,420,922원","56,185,373,000원"
522회,2012년12월01일,4,5,13,14,37,41,11,6,"2,281,623,000원","57,053,378,000원"
523회,2012년12월08일,1,4,37,38,40,45,7,7,"1,780,355,840원","53,678,449,000원"
524회,2012년12월15일,10,11,29,38,41,45,21,4,"3,491,695,594원","55,662,103,000원"
525회,2012년12월22일,11,23,26,29,39,44,22,9,"1,501,132,375원","55,566,007,000원"
526회,2012년12월29일,7,14,17,20,35,39,31,9,"1,491,031,959원","56,527,807,000원"
527회,2013년01월05일,1,12,22,32,33,42,38,13,"1,032,386,366원","56,985,634,000원"
528회,2013년01월12일,5,17,25,31,39,40,10,11,"1,197,889,125원","57,548,541,000원"
529회,2013년01월19일,18,20,24,27,31,42,39,8,"1,749,114,797원","57,645,779,000원"
530회,2013년01월26일,16,23,27,29,33,41,22,11,"1,231,656,239원","56,241,083,000원"
531회,2013년02월02일,1,5,9,21,27,35,45,9,"1,521,519,750원","57,567,064,000원"
532회,2013년02월09일,16,17,23,24,29,44,3,7,"2,216,896,286원","61,687,384,000원"
533회,2013년02월16일,9,14,15,17,31,33,23,8,"1,785,671,579원","59,275,357,000원"
534회,2013년02월23일,10,24,26,29,37,38,32,1,"14,215,763,250원","59,227,462,000원"
535회,2013년03월02일,11,12,14,15,18,39,34,3,"4,935,603,000원","60,523,884,000원"
536회,2013년03월09일,7,8,18,32,37,43,12,11,"1,308,523,603원","59,763,469,000원"
537회,2013년03월16일,12,23,26,30,36,43,11,7,"2,104,038,911원","59,453,323,000원"
538회,2013년03월23일,6,10,18,31,32,34,11,3,"4,688,021,625원","59,233,373,000원"
539회,2013년03월30일,3,19,22,31,42,43,26,9,"1,621,036,667원","59,168,870,000원"
540회,2013년04월06일,3,12,13,15,34,36,14,7,"1,989,365,250원","56,739,658,000원"
541회,2013년04월13일,8,13,26,28,32,34,43,11,"1,269,327,171원","57,087,047,000원"
542회,2013년04월20일,5,6,19,26,41,45,34,6,"2,335,152,563원","56,949,161,000원"
543회,2013년04월27일,13,18,26,31,34,44,12,12,"1,112,934,844원","56,570,245,000원"
544회,2013년05월04일,5,17,21,25,36,44,10,13,"1,046,388,433원","56,056,189,000원"
545회,2013년05월11일,4,24,25,27,34,35,2,11,"1,198,994,353원","55,967,171,000원"
546회,2013년05월18일,8,17,20,27,37,43,6,30,"405,939,950원","56,713,166,000원"
547회,2013년05월25일,6,7,15,22,34,39,28,5,"2,838,444,450원","57,968,466,000원"
548회,2013년06월01일,1,12,13,21,32,45,14,8,"1,736,871,891원","57,771,827,000원"
549회,2013년06월08일,29,31,35,38,40,44,17,8,"1,760,805,047원","56,864,611,000원"
550회,2013년06월15일,1,7,14,20,34,37,41,11,"1,118,679,205원","56,441,770,000원"
551회,2013년06월22일,3,6,20,24,27,44,25,1,"13,526,973,750원","56,989,370,000원"
552회,2013년06월29일,1,10,20,32,35,40,43,10,"1,330,824,225원","57,602,386,000원"
553회,2013년07월06일,2,7,17,28,29,39,37,6,"2,249,631,438원","56,487,483,000원"
554회,2013년07월13일,13,14,17,32,41,42,6,2,"6,813,893,625원","56,124,466,000원"
555회,2013년07월20일,11,17,21,24,26,36,12,8,"1,711,027,360원","57,273,817,000원"
556회,2013년07월27일,12,20,23,28,30,44,43,7,"2,005,209,161원","57,374,791,000원"
557회,2013년08월03일,4,20,26,28,35,40,31,7,"1,888,069,286원","55,086,560,000원"
558회,2013년08월10일,12,15,19,26,40,43,29,10,"1,315,913,663원","54,939,001,000원"
559회,2013년08월17일,11,12,25,32,44,45,23,7,"1,926,145,608원","55,733,418,000원"
560회,2013년08월24일,1,4,20,23,29,45,28,7,"1,976,697,215원","56,565,298,000원"
561회,2013년08월31일,5,7,18,37,42,45,20,5,"2,753,712,225원","56,638,383,000원"
562회,2013년09월07일,4,11,13,17,20,31,33,11,"1,166,694,614원","56,288,212,000원"
563회,2013년09월14일,5,10,16,17,31,32,21,7,"1,932,735,643원","57,320,132,000원"
564회,2013년09월21일,14,19,25,26,27,34,2,7,"1,934,801,143원","58,012,468,000원"
565회,2013년09월28일,4,10,18,27,40,45,38,8,"1,742,064,469원","59,556,622,000원"
566회,2013년10월05일,4,5,6,25,26,43,41,4,"3,508,951,032원","57,666,611,000원"
567회,2013년10월12일,1,10,15,16,32,41,28,6,"2,318,659,438원","57,439,471,000원"
568회,2013년10월19일,1,3,17,20,31,44,40,10,"1,305,167,550원","57,681,628,000원"
569회,2013년10월26일,3,6,13,23,24,35,1,4,"3,467,925,188원","58,441,902,000원"
570회,2013년11월02일,1,12,26,27,29,33,42,9,"1,527,791,625원","57,654,279,000원"
571회,2013년11월09일,11,18,21,26,38,43,29,7,"1,966,538,465원","56,493,528,000원"
572회,2013년11월16일,3,13,18,33,37,45,1,8,"1,668,216,188원","56,473,602,000원"
573회,2013년11월23일,2,4,20,34,35,43,14,8,"1,645,691,766원","56,092,721,000원"
574회,2013년11월30일,14,15,16,19,25,43,2,2,"6,965,184,938원","55,882,933,000원"
575회,2013년12월07일,2,8,20,30,33,34,6,8,"1,699,267,875원","56,330,738,000원"
576회,2013년12월14일,10,11,15,25,35,41,13,3,"4,321,966,000원","54,691,148,000원"
577회,2013년12월21일,16,17,22,31,34,37,33,3,"4,484,438,375원","57,010,827,000원"
578회,2013년12월28일,5,12,14,32,34,42,16,5,"2,796,466,575원","58,584,741,000원"
579회,2014년01월04일,5,7,20,22,37,42,39,11,"1,396,068,444원","63,532,871,000원"
580회,2014년01월11일,5,7,9,11,32,35,33,7,"2,028,610,500원","60,514,216,000원"
581회,2014년01월18일,3,5,14,20,42,44,33,8,"1,844,554,547원","60,257,457,000원"
582회,2014년01월25일,2,12,14,33,40,41,25,4,"3,560,558,719원","59,306,953,000원"
583회,2014년02월01일,8,17,27,33,40,44,24,11,"1,341,848,353원","62,675,295,000원"
584회,2014년02월08일,7,18,30,39,40,41,36,3,"5,033,183,250원","61,343,856,000원"
585회,2014년02월15일,6,7,10,16,38,41,4,9,"1,620,546,334원","60,253,002,000원"
586회,2014년02월22일,2,7,12,15,21,34,5,8,"1,778,354,344원","59,502,096,000원"
587회,2014년03월01일,14,21,29,31,32,37,17,3,"4,974,577,375원","59,715,499,000원"
588회,2014년03월08일,2,8,15,22,25,41,30,5,"2,889,342,075원","59,533,101,000원"
589회,2014년03월15일,6,8,28,33,38,39,22,7,"2,136,877,983원","60,643,729,000원"
590회,2014년03월22일,20,30,36,38,41,45,23,7,"2,185,183,983원","60,003,131,000원"
591회,2014년03월29일,8,13,14,30,38,39,5,5,"2,964,676,200원","59,373,946,000원"
592회,2014년04월05일,2,5,6,13,28,44,43,6,"2,356,381,688원","58,097,477,000원"
593회,2014년04월12일,9,10,13,24,33,38,28,9,"1,532,833,500원","59,368,204,000원"
594회,2014년04월19일,2,8,13,25,28,37,3,11,"1,255,592,796원","57,764,442,000원"
595회,2014년04월26일,8,24,28,35,38,40,5,8,"1,744,525,219원","57,797,288,000원"
596회,2014년05월03일,3,4,12,14,25,43,17,10,"1,328,267,663원","56,561,071,000원"
597회,2014년05월10일,8,10,23,24,35,43,37,13,"1,057,920,606원","56,832,361,000원"
598회,2014년05월17일,4,12,24,33,38,45,22,16,"833,998,594원","57,518,550,000원"
599회,2014년05월24일,5,12,17,29,34,35,27,8,"1,710,918,329원","57,381,791,000원"
600회,2014년05월31일,5,11,14,27,29,36,44,15,"901,798,725원","56,372,519,000원"
601회,2014년06월07일,2,16,19,31,34,35,37,9,"1,524,565,209원","55,868,455,000원"
602회,2014년06월14일,13,14,22,27,30,38,2,8,"1,689,530,860원","56,262,855,000원"
603회,2014년06월21일,2,19,25,26,27,43,28,4,"3,452,136,563원","56,276,650,000원"
604회,2014년06월28일,2,6,18,21,33,34,30,11,"1,229,141,557원","56,266,399,000원"
605회,2014년07월05일,1,2,7,9,10,38,42,9,"1,394,232,250원","56,622,924,000원"
606회,2014년07월12일,1,5,6,14,20,39,22,10,"1,311,566,850원","56,928,896,000원"
607회,2014년07월19일,8,14,23,36,38,39,13,4,"3,494,480,907원","56,806,213,000원"
608회,2014년07월26일,4,8,18,19,39,44,41,7,"1,943,530,018원","56,146,117,000원"
609회,2014년08월02일,4,8,27,34,39,40,13,2,"6,339,311,438원","54,858,201,000원"
610회,2014년08월09일,14,18,20,23,28,36,33,4,"3,516,018,375원","56,862,756,000원"
611회,2014년08월16일,2,22,27,33,36,37,14,4,"3,502,706,157원","57,411,079,000원"
612회,2014년08월23일,6,9,18,19,25,33,40,11,"1,181,705,250원","56,931,314,000원"
613회,2014년08월30일,7,8,11,16,41,44,35,9,"1,549,831,209원","57,986,249,000원"
614회,2014년09월06일,8,21,25,39,40,44,18,6,"2,540,975,438원","62,301,977,000원"
615회,2014년09월13일,10,17,18,19,23,27,35,9,"1,535,062,417원","59,072,378,000원"
616회,2014년09월20일,5,13,18,23,40,45,3,9,"1,611,811,250원","60,303,360,000원"
617회,2014년09월27일,4,5,11,12,24,27,28,8,"1,629,701,860원","58,958,123,000원"
618회,2014년10월04일,8,16,25,30,42,43,15,5,"2,881,326,225원","58,550,803,000원"
619회,2014년10월11일,6,8,13,30,35,40,21,3,"4,612,479,375원","58,822,925,000원"
620회,2014년10월18일,2,16,17,32,39,45,40,7,"2,028,283,233원","58,342,777,000원"
621회,2014년10월25일,1,2,6,16,19,42,9,6,"2,359,723,500원","59,407,216,000원"
622회,2014년11월01일,9,15,16,21,28,34,24,9,"1,630,598,292원","59,601,329,000원"
623회,2014년11월08일,7,13,30,39,41,45,25,8,"1,813,702,594원","58,504,142,000원"
624회,2014년11월15일,1,7,19,26,27,35,16,5,"2,763,729,450원","57,832,726,000원"
625회,2014년11월22일,3,6,7,20,21,39,13,5,"2,765,184,675원","58,614,979,000원"
626회,2014년11월29일,13,14,26,33,40,43,15,8,"1,717,871,110원","58,986,187,000원"
627회,2014년12월06일,2,9,22,25,31,45,12,10,"1,352,230,650원","55,981,334,000원"
628회,2014년12월13일,1,7,12,15,23,42,11,9,"1,499,942,875원","57,253,109,000원"
629회,2014년12월20일,19,28,31,38,43,44,1,5,"2,919,433,575원","57,618,701,000원"
630회,2014년12월27일,8,17,21,24,27,31,15,3,"4,836,305,500원","61,335,894,000원"
631회,2015년01월03일,1,2,4,23,31,34,8,4,"3,919,853,532원","65,300,621,000원"
632회,2015년01월10일,15,18,21,32,35,44,6,11,"1,432,587,716원","63,066,603,000원"
633회,2015년01월17일,9,12,19,20,39,41,13,12,"1,217,257,094원","62,015,797,000원"
634회,2015년01월24일,4,10,11,12,20,27,38,13,"1,077,935,106원","63,149,567,000원"
635회,2015년01월31일,11,13,25,26,29,33,32,8,"1,855,587,235원","62,429,621,000원"
636회,2015년02월07일,6,7,15,16,20,31,26,8,"1,832,362,219원","62,786,394,000원"
637회,2015년02월14일,3,16,22,37,38,44,23,4,"3,899,241,094원","63,504,865,000원"
638회,2015년02월21일,7,18,22,24,31,34,6,7,"2,229,403,179원","64,319,586,000원"
639회,2015년02월28일,6,15,22,23,25,32,40,4,"4,061,185,219원","66,202,599,000원"
640회,2015년03월07일,14,15,18,21,26,35,23,9,"1,728,768,834원","64,080,502,000원"
641회,2015년03월14일,11,18,21,36,37,43,12,8,"1,990,074,563원","63,773,134,000원"
642회,2015년03월21일,8,17,18,24,39,45,32,12,"1,251,460,438원","63,544,224,000원"
643회,2015년03월28일,15,24,31,32,33,40,13,6,"2,535,763,625원","63,110,068,000원"
644회,2015년04월04일,5,13,17,23,28,36,8,8,"1,831,451,204원","61,846,599,000원"
645회,2015년04월11일,1,4,16,26,40,41,31,4,"3,696,297,750원","62,661,756,000원"
646회,2015년04월18일,2,9,24,41,43,45,30,7,"2,215,498,393원","62,308,090,000원"
647회,2015년04월25일,5,16,21,23,24,30,29,7,"2,189,725,608원","62,314,338,000원"
648회,2015년05월02일,13,19,28,37,38,43,4,7,"2,120,987,947원","60,874,405,000원"
649회,2015년05월09일,3,21,22,33,41,42,20,5,"2,948,042,100원","60,473,178,000원"
650회,2015년05월16일,3,4,7,11,31,41,35,5,"2,849,298,900원","60,991,082,000원"
651회,2015년05월23일,11,12,16,26,29,44,18,8,"1,855,306,454원","61,494,891,000원"
652회,2015년05월30일,3,13,15,40,41,44,20,5,"3,003,483,525원","60,426,977,000원"
653회,2015년06월06일,5,6,26,27,38,39,1,14,"980,958,670원","59,716,037,000원"
654회,2015년06월13일,16,21,26,31,36,43,6,8,"1,879,301,391원","60,697,813,000원"
655회,2015년06월20일,7,37,38,39,40,44,18,9,"1,661,439,625원","60,434,801,000원"
656회,2015년06월27일,3,7,14,16,31,40,39,2,"7,330,002,750원","61,328,118,000원"
657회,2015년07월04일,10,14,19,39,40,43,23,9,"1,694,762,792원","61,769,837,000원"
658회,2015년07월11일,8,19,25,28,32,36,37,9,"1,634,031,375원","61,131,243,000원"
659회,2015년07월18일,7,18,19,27,29,42,45,11,"1,336,604,216원","61,677,747,000원"
660회,2015년07월25일,4,9,23,33,39,44,14,10,"1,421,272,575원","60,813,322,000원"
661회,2015년08월01일,2,3,12,20,27,38,40,8,"1,713,025,547원","59,597,375,000원"
662회,2015년08월08일,5,6,9,11,15,37,26,8,"1,689,733,688원","59,164,542,000원"
